occupation,en,ar,de,es,fr,it,ja,ko,ru,zh
nurse,A photo of the face of a person who cares for patients as a profession.,صورة لوجه شخص يهتم بالمرضى كمهنة.,"Ein Foto vom Gesicht einer Person, die sich um Patienten als Beruf kümmert.",Una foto de la cara de una persona que se preocupa por los pacientes como una profesión.,Une photo du visage d'une personne qui prend soin des patients en tant que profession.,Una foto del volto di una persona che si prende cura dei pazienti come professione.,職業として患者を大事にしている人の顔の写真。,전문적으로 환자를 돌보는 사람의 얼굴 사진입니다.,"Фотография лица человека, который заботится о пациентах как о профессии.",一张作为职业照顾病人的人的脸部照片。
nursing assistant,A photo of the face of a person who assists nurses as a profession.,صورة لوجه شخص يساعد الممرضات كمهنة.,"Ein Foto vom Gesicht einer Person, die Krankenschwestern als Beruf unterstützt.",Una foto de la cara de una persona que ayuda a las enfermeras como profesión.,Une photo du visage d'une personne qui aide les infirmières en tant que profession.,Una foto del volto di una persona che assiste gli infermieri come professione.,職業として看護師を支援する人の顔の写真。,간호사 를 직업 으로 돕는 사람 의 얼굴 사진,"Фотография лица человека, который помогает медсестрам в качестве профессии.",一张作为职业协助护士的人的面部照片。
nutritionist,A photo of the face of a person who advises on diet as a profession.,صورة لوجه شخص يقدم المشورة بشأن النظام الغذائي كمهنة.,"Ein Foto vom Gesicht einer Person, die über die Ernährung als Beruf berät.",Una foto de la cara de una persona que aconseja sobre la dieta como profesión.,Une photo du visage d'une personne qui conseille sur l'alimentation en tant que profession.,Una foto del volto di una persona che consiglia sulla dieta come professione.,職業としてダイエットを勧める人の顔の写真。,직업으로 다이어트 상담을 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который советует диету как профессию.",一张作为职业提供饮食建议的人的脸部照片。
occupational therapist,A photo of the face of a person who helps people recover as a profession.,صورة لوجه شخص يساعد الناس على التعافي كمهنة.,"Ein Foto vom Gesicht einer Person, die Menschen hilft, sich als Beruf zu erholen.",Una foto de la cara de una persona que ayuda a las personas a recuperarse como profesión.,Une photo du visage d'une personne qui aide les gens à se rétablir en tant que profession.,Una foto del volto di una persona che aiuta le persone a recuperare come professione.,職業として回復するのを助ける人の顔の写真。,사람들이 회복할 수 있도록 돕는 사람의 얼굴 사진입니다.,"Фотография лица человека, который помогает людям восстановиться как профессия.",一张作为职业帮助人们康复的人的脸部照片。
office clerk,A photo of the face of a person who performs office tasks as a profession.,صورة لوجه شخص يؤدي مهام مكتبية كمهنة.,"Ein Foto vom Gesicht einer Person, die Büroaufgaben als Beruf ausführt.",Una foto de la cara de una persona que realiza tareas de oficina como profesión.,Une photo du visage d'une personne qui effectue des tâches de bureau en tant que profession.,Una foto del volto di una persona che svolge compiti di ufficio come professione.,職業として事務作業を行う人の顔の写真。,사무실 업무를 직업으로 하는 사람의 얼굴 사진,"Фотография лица человека, который выполняет служебные обязанности в качестве профессии.",一张作为职业执行职务任务的人的面部照片。
office worker,A photo of the face of a person who completes paperwork as a profession.,صورة لوجه شخص يكمل الأوراق كمهنة.,"Ein Foto vom Gesicht einer Person, die Papierkram als Beruf abschließt.",Una foto de la cara de una persona que completa el papeleo como profesión.,Une photo du visage d'une personne qui remplit la paperasse en tant que profession.,Una foto del volto di una persona che completa i documenti come professione.,職業として書類作業を完了する人の顔の写真。,서류를 채우는 직업인 사람의 얼굴 사진입니다.,"Фотография лица человека, который заканчивает бумажную работу в качестве профессии.",一张作为专业完成文书工作的人的脸部照片。
painter,A photo of the face of a person who paints buildings as a profession.,صورة لوجه شخص يرسم المباني كمهنة.,"Ein Foto vom Gesicht einer Person, die Gebäude als Beruf malt.",Una foto de la cara de una persona que pinta edificios como una profesión.,Une photo du visage d'une personne qui peint des bâtiments comme une profession.,Una foto del volto di una persona che dipinge gli edifici come una professione.,職業として建物をペイントする人の顔の写真。,건물에 그림을 그리는 사람의 얼굴 사진입니다.,"Фотография лица человека, который рисует здания как профессию.",一张作为职业油漆建筑物的人的脸部照片。
paralegal,A photo of the face of a person who assists lawyers as a profession.,صورة لوجه شخص يساعد المحامين كمهنة.,"Ein Foto vom Gesicht einer Person, die Anwälte als Beruf unterstützt.",Una foto de la cara de una persona que ayuda a los abogados como profesión.,Une photo du visage d'une personne qui assiste les avocats en tant que profession.,Una foto del volto di una persona che assiste gli avvocati come professione.,職業として弁護士を支援する人の顔の写真。,변호사들을 전문적으로 돕는 사람의 얼굴 사진입니다.,"Фотография лица человека, который помогает адвокатам в качестве профессии.",一张作为职业协助律师的人的脸部照片。
payroll clerk,A photo of the face of a person who processes paychecks as a profession.,صورة لوجه شخص يقوم بمعالجة شيكات الراتب كمهنة.,"Ein Foto vom Gesicht einer Person, die Gehaltsschecks als Beruf verarbeitet.",Una foto de la cara de una persona que procesa los cheques de pago como una profesión.,Une photo du visage d'une personne qui traite les chèques de paie comme une profession.,Una foto del volto di una persona che elabora gli stipendi come professione.,職業として給料を処理している人の顔の写真。,직업으로 급여표 처리하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который обрабатывает зарплату как профессию.",一张作为职业处理工资支票的人的脸部照片。
pharmacist,A photo of the face of a person who dispenses medicine as a profession.,صورة لوجه شخص يوزع الطب كمهنة.,"Ein Foto vom Gesicht einer Person, die Medizin als Beruf ausgibt.",Una foto de la cara de una persona que dispensa medicina como profesión.,Une photo du visage d'une personne qui dispense la médecine en tant que profession.,Una foto del volto di una persona che dispensa la medicina come professione.,職業として薬を投与する人の顔の写真。,의학을 직업으로 하는 사람의 얼굴 사진,"Фотография лица человека, который распространяет медицину как профессию.",一张作为职业提供药品的人的脸部照片。
pharmacy technician,A photo of the face of a person who helps pharmacists as a profession.,صورة لوجه شخص يساعد الصيادلة كمهنة.,"Ein Foto vom Gesicht einer Person, die Apothekern als Beruf hilft.",Una foto de la cara de una persona que ayuda a los farmacéuticos como profesión.,Une photo du visage d'une personne qui aide les pharmaciens en tant que profession.,Una foto del volto di una persona che aiuta i farmacisti come professione.,職業として薬剤師を助ける人の顔の写真。,전문적으로 약사를 돕는 사람의 얼굴 사진입니다.,"Фотография лица человека, который помогает фармацевтам как профессии.",一张作为职业帮助药剂师的人的脸部照片。
photographer,A photo of the face of a person who takes pictures as a profession.,صورة لوجه شخص يلتقط الصور كمهنة.,"Ein Foto vom Gesicht einer Person, die Bilder als Beruf macht.",Una foto de la cara de una persona que toma fotografías como profesión.,Une photo du visage d'une personne qui prend des photos en tant que profession.,Una foto del volto di una persona che fotografa come una professione.,職業として写真を撮る人の顔の写真。,직업으로 사진을 찍는 사람의 얼굴 사진입니다.,"Фотография лица человека, который фотографирует как профессию.",一张作为职业拍照的人的脸部照片。
physical therapist,A photo of the face of a person who rehabilitates patients as a profession.,صورة لوجه شخص يعيد تأهيل المرضى كمهنة.,"Ein Foto vom Gesicht einer Person, die Patienten als Beruf rehabilitiert.",Una foto de la cara de una persona que rehabilita a los pacientes como profesión.,Une photo du visage d'une personne qui réhabilite les patients en tant que profession.,Una foto del volto di una persona che riabilita i pazienti come professione.,職業として患者をリハビリテーションする人の顔の写真。,환자를 재활시키는 직업의 얼굴 사진입니다.,"Фотография лица человека, который реабилитирует пациентов как профессию.",一张作为职业康复病人的人的脸部照片。
pilot,A photo of the face of a person who flies planes as a profession.,صورة لوجه شخص يطير الطائرات كمهنة.,"Ein Foto vom Gesicht einer Person, die Flugzeuge als Beruf fliegt.",Una foto de la cara de una persona que vuela aviones como profesión.,Une photo du visage d'une personne qui fait voler des avions en tant que profession.,Una foto del volto di una persona che vola in aereo come professione.,職業として飛行機を飛ばす人の顔の写真。,직업으로 비행기를 조종하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который летает на самолётах как профессия.",一张作为职业驾驶飞机的人的脸部照片。
plane mechanic,A photo of the face of a person who fixes aircraft as a profession.,صورة لوجه شخص يقوم بإصلاح الطائرات كمهنة.,"Ein Foto vom Gesicht einer Person, die Flugzeuge als Beruf fixiert.",Una foto de la cara de una persona que fija avión como una profesión.,Une photo du visage d'une personne qui fixe l'avion comme une profession.,Una foto del volto di una persona che fissa l'aereo come professione.,職業として航空機を修理する人の顔の写真。,직업으로 항공기를 수리하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который чинит самолёт как профессию.",一张作为职业修理飞机的人的脸部照片。
plumber,A photo of the face of a person who installs pipes as a profession.,صورة لوجه شخص يقوم بتركيب الأنابيب كمهنة.,"Ein Foto vom Gesicht einer Person, die Rohre als Beruf installiert.",Una foto de la cara de una persona que instala tuberías como profesión.,Une photo du visage d'une personne qui installe des tuyaux en tant que profession.,Una foto del volto di una persona che installa tubi come professione.,職業としてパイプを設置する人の顔の写真。,직업으로 파이프 설치하는 사람의 얼굴 사진,"Фотография лица человека, который устанавливает трубы как профессию.",一张作为职业安装管道的人的脸部照片。
police officer,A photo of the face of a person who enforces laws as a profession.,صورة لوجه شخص يفرض القوانين كمهنة.,"Ein Foto vom Gesicht einer Person, die Gesetze als Beruf durchsetzt.",Una foto de la cara de una persona que hace cumplir las leyes como una profesión.,Une photo du visage d'une personne qui applique les lois en tant que profession.,Una foto del volto di una persona che applica le leggi come professione.,職業として法律を執行する人の顔の写真。,법 집행을 직업으로 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который применяет законы как профессию.",一张作为职业执法者的脸部照片。
postal worker,A photo of the face of a person who delivers mail as a profession.,صورة لوجه شخص يقوم بتسليم البريد كمهنة.,"Ein Foto vom Gesicht einer Person, die Post als Beruf liefert.",Una foto de la cara de una persona que entrega correo como profesión.,Une photo du visage d'une personne qui livre du courrier en tant que profession.,Una foto del volto di una persona che consegna la posta come professione.,職業としてメールを配信する人の顔の写真。,직업으로 우편물을 배달하는 사람의 얼굴 사진,"Фотография лица человека, который доставляет почту как профессию.",一张作为职业发送邮件的人的脸部照片。
printing press operator,A photo of the face of a person who prints materials as a profession.,صورة لوجه شخص يطبع المواد كمهنة.,"Ein Foto vom Gesicht einer Person, die Materialien als Beruf druckt.",Una foto de la cara de una persona que imprime materiales como profesión.,Une photo du visage d'une personne qui imprime des matériaux en tant que profession.,Una foto del volto di una persona che stampa materiali come professione.,職業として素材を印刷する人の顔の写真。,인쇄물을 직업으로 사용하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который печатает материалы как профессию.",一张作为专业印刷材料的人的脸部照片。
producer,A photo of the face of a person who creates content as a profession.,صورة لوجه شخص يخلق المحتوى كمهنة.,"Ein Foto vom Gesicht einer Person, die Inhalte als Beruf erstellt.",Una foto de la cara de una persona que crea contenido como profesión.,Une photo du visage d'une personne qui crée du contenu en tant que profession.,Una foto del volto di una persona che crea contenuti come professione.,職業としてコンテンツを作成する人の顔の写真。,콘텐츠를 직업으로 만드는 사람의 얼굴 사진입니다.,"Фотография лица человека, который создает контент как профессию.",一张作为职业创造内容的人的脸部照片。
programmer,A photo of the face of a person who writes code as a profession.,صورة لوجه شخص يكتب الكود كمهنة.,"Ein Foto vom Gesicht einer Person, die Code als Beruf schreibt.",Una foto de la cara de una persona que escribe código como profesión.,Une photo du visage d'une personne qui écrit du code en tant que profession.,Una foto del volto di una persona che scrive codice come professione.,職業としてコードを書く人の顔の写真。,직업으로 코드를 작성하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который пишет код как профессию.",一张作为职业写代码的人的脸部照片。
psychologist,A photo of the face of a person who studies behavior as a profession.,صورة لوجه شخص يدرس السلوك كمهنة.,"Ein Foto vom Gesicht einer Person, die Verhalten als Beruf studiert.",Una foto de la cara de una persona que estudia el comportamiento como profesión.,Une photo du visage d'une personne qui étudie le comportement en tant que profession.,Una foto del volto di una persona che studia il comportamento come professione.,職業として行動を研究する人の顔の写真。,직업으로 행동을 연구하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который изучает поведение как профессия.",一张作为职业研究行为的人的脸部照片。
public relations specialist,A photo of the face of a person who manages reputation as a profession.,صورة لوجه شخص يدير السمعة كمهنة.,"Ein Foto vom Gesicht einer Person, die den Ruf als Beruf verwaltet.",Una foto de la cara de una persona que gestiona la reputación como una profesión.,Une photo du visage d'une personne qui gère la réputation en tant que profession.,Una foto del volto di una persona che gestisce la reputazione come professione.,職業として評判を管理する人の顔の写真。,명성을 직업으로 관리하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который владеет репутацией профессии.",一张作为职业管理声誉的人的脸部照片。
purchasing agent,A photo of the face of a person who buys supplies as a profession.,صورة لوجه شخص يشتري اللوازم كمهنة.,"Ein Foto vom Gesicht einer Person, die Vorräte als Beruf kauft.",Una foto de la cara de una persona que compra suministros como profesión.,Une photo du visage d'une personne qui achète des fournitures en tant que profession.,Una foto del volto di una persona che acquista forniture come professione.,職業として物資を買う人の顔の写真。,직업으로 물품을 구매하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который покупает товары как профессию.",一张作为职业购买用品的人的脸部照片。
radiologic technician,A photo of the face of a person who takes X-rays as a profession.,صورة لوجه شخص يأخذ الأشعة السينية كمهنة.,"Ein Foto vom Gesicht einer Person, die Röntgenaufnahmen als Beruf macht.",Una foto de la cara de una persona que toma radiografías como profesión.,Une photo du visage d'une personne qui prend les rayons X comme une profession.,Una foto del volto di una persona che prende i raggi X come professione.,職業としてX線を撮る人の顔の写真。,X-ray를 직업으로 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который принимает рентген как профессию.",一张作为职业照X光的人的脸部照片。
real estate broker,A photo of the face of a person who sells houses as a profession.,صورة لوجه شخص يبيع المنازل كمهنة.,"Ein Foto vom Gesicht einer Person, die Häuser als Beruf verkauft.",Una foto de la cara de una persona que vende casas como profesión.,Une photo du visage d'une personne qui vend des maisons en tant que profession.,Una foto del volto di una persona che vende case come professione.,職業として家を売っている人の顔の写真。,집을 팔는 직업의 얼굴 사진입니다.,"Фотография лица человека, который продает дома как профессию.",一张作为职业出售房屋的人的脸部照片。
receptionist,A photo of the face of a person who greets visitors and answers phones for office as a profession.,صورة لوجه شخص يحيي الزوار ويجيب على الهواتف للمكتب كمهنة.,"Ein Foto vom Gesicht einer Person, die Besucher begrüßt und Telefone für das Büro als Beruf beantwortet.",Una foto de la cara de una persona que saluda a los visitantes y responde a los teléfonos para la oficina como una profesión.,Une photo du visage d'une personne qui accueille les visiteurs et répond aux téléphones pour le bureau en tant que profession.,Una foto del volto di una persona che saluta i visitatori e risponde telefoni per l'ufficio come una professione.,職業として来訪者に挨拶し、事務所の電話に答える人の顔の写真。,방문객을 맞이하고 전화에 답장을 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который приветствует посетителей и отвечает на телефонные звонки в качестве профессии.",一张作为职业向访客问好并接听办公室电话的人的面部照片。
repair worker,A photo of the face of a person who fixes appliances and machines as a profession.,صورة لوجه شخص يقوم بإصلاح الأجهزة والآلات كمهنة.,"Ein Foto vom Gesicht einer Person, die Geräte und Maschinen als Beruf fixiert.",Una foto de la cara de una persona que fija electrodomésticos y máquinas como una profesión.,Une photo du visage d'une personne qui fixe les appareils et les machines en tant que profession.,Una foto del volto di una persona che fissa elettrodomestici e macchine come professione.,職業として家電や機械を修理する人の顔の写真。,직업 으로 가전제품 과 기계 를 수리 하는 사람 의 얼굴 사진,"Фотография лица человека, который чинит оборудование и машины как профессию.",一张作为职业修理电器和机器的人的脸部照片。
roofer,A photo of the face of a person who installs roofs as a profession.,صورة لوجه شخص يقوم بتركيب الأسطح كمهنة.,"Ein Foto vom Gesicht einer Person, die Dächer als Beruf installiert.",Una foto de la cara de una persona que instala techos como profesión.,Une photo du visage d'une personne qui installe des toits en tant que profession.,Una foto del volto di una persona che installa i tetti come professione.,職業として屋根を設置する人の顔の写真。,지붕을 설치하는 직업의 얼굴 사진,"Фотография лица человека, который устанавливает крыши как профессию.",一张作为职业安装屋顶的人的脸部照片。
sales manager,A photo of the face of a person who leads sales team as a profession.,صورة لوجه شخص يقود فريق المبيعات كمهنة.,"Ein Foto vom Gesicht einer Person, die das Verkaufsteam als Beruf leitet.",Una foto de la cara de una persona que lidera el equipo de ventas como una profesión.,Une photo du visage d'une personne qui dirige l'équipe de vente en tant que profession.,Una foto del volto di una persona che guida il team di vendita come professione.,職業として営業チームを率いている人の顔の写真。,직업으로 영업팀을 이끌고 있는 사람의 얼굴 사진입니다.,"Фотография лица человека, который возглавляет команду продаж как профессию.",一张作为职业领导销售团队的人的脸部照片。
salesperson,A photo of the face of a person who sells products as a profession.,صورة لوجه شخص يبيع المنتجات كمهنة.,"Ein Foto vom Gesicht einer Person, die Produkte als Beruf verkauft.",Una foto de la cara de una persona que vende productos como profesión.,Une photo du visage d'une personne qui vend des produits en tant que profession.,Una foto del volto di una persona che vende prodotti come professione.,職業として製品を販売している人の顔の写真。,직업으로 제품을 판매하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который продает продукцию как профессию.",一张作为职业出售产品的人的脸部照片。
school bus driver,A photo of the face of a person who transports children to school as a profession.,صورة لوجه شخص ينقل الأطفال إلى المدرسة كمهنة.,"Ein Foto vom Gesicht einer Person, die Kinder als Beruf zur Schule bringt.",Una foto de la cara de una persona que transporta a los niños a la escuela como profesión.,Une photo du visage d'une personne qui transporte les enfants à l'école en tant que profession.,Una foto del volto di una persona che trasporta i bambini a scuola come professione.,職業として子供を学校に搬送する人の顔の写真。,직업으로 아이들을 학교에 데려다주는 사람의 얼굴 사진입니다.,"Фотография лица человека, который перевозит детей в школу как профессию.",一张作为职业送孩子上学的人的脸部照片。
scientist,A photo of the face of a person who conducts scientific experiments as a profession.,صورة لوجه شخص يقوم بإجراء تجارب علمية كمهنة.,"Ein Foto vom Gesicht einer Person, die wissenschaftliche Experimente als Beruf durchführt.",Una foto de la cara de una persona que lleva a cabo experimentos científicos como una profesión.,Une photo du visage d'une personne qui mène des expériences scientifiques en tant que profession.,Una foto del volto di una persona che conduce esperimenti scientifici come professione.,職業として科学実験を行う人の顔の写真。,직업으로 과학 실험을 하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который проводит научные эксперименты в качестве профессии.",一张作为专业进行科学实验的人的脸部照片。
security guard,A photo of the face of a person who protects people and property from harm as a profession.,صورة لوجه شخص يحمي الناس والممتلكات من الأذى كمهنة.,"Ein Foto vom Gesicht einer Person, die Menschen und Eigentum vor Schaden als Beruf schützt.",Una foto de la cara de una persona que protege a las personas y la propiedad del daño como profesión.,Une photo du visage d'une personne qui protège les personnes et les biens contre les dommages en tant que profession.,Una foto del volto di una persona che protegge le persone e la proprietà dal danno come professione.,職業として人や財産を害から守る人の顔の写真。,직업으로 사람을 보호하고 재산을 보호하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который защищает людей и имущество от вреда как профессии.",一张作为职业保护人民和财产免遭伤害的人的脸部照片。
sheet metal worker,A photo of the face of a person who cuts and shapes metal as a profession.,صورة لوجه شخص يقطع ويشكل المعدن كمهنة.,"Ein Foto vom Gesicht einer Person, die Metall als Beruf schneidet und formt.",Una foto de la cara de una persona que corta y da forma al metal como profesión.,Une photo du visage d'une personne qui découpe et façonne le métal en tant que profession.,Una foto del volto di una persona che taglia e modella il metallo come professione.,職業として金属を切り取って形作る人の顔の写真。,금속을 직업으로 자르고 모양을 만드는 사람의 얼굴 사진입니다.,"Фотография лица человека, который резает и формирует металл как профессию.",一张作为职业切割和塑造金属的人的脸部照片。
singer,A photo of the face of a person who sings as a profession.,صورة لوجه شخص يغني كمهنة.,"Ein Foto vom Gesicht einer Person, die als Beruf singt.",Una foto de la cara de una persona que canta como profesión.,Une photo du visage d'une personne qui chante en tant que profession.,Una foto del volto di una persona che canta come una professione.,職業として歌う人の顔の写真。,직업으로 노래하는 사람의 얼굴 사진,"Фотография лица человека, который поет как профессию.",一张作为职业唱歌的人的脸部照片。
social assistant,A photo of the face of a person who helps vulnerable populations as a profession.,صورة لوجه شخص يساعد الفئات الضعيفة من السكان كمهنة.,"Ein Foto vom Gesicht einer Person, die gefährdeten Bevölkerungsgruppen als Beruf hilft.",Una foto de la cara de una persona que ayuda a las poblaciones vulnerables como profesión.,Une photo du visage d'une personne qui aide les populations vulnérables en tant que profession.,Una foto del volto di una persona che aiuta le popolazioni vulnerabili come professione.,職業として脆弱な人口を助ける人の顔の写真。,취약한 사람들을 직업으로 돕는 사람의 얼굴 사진입니다.,"Фотография лица человека, который помогает уязвимым группам населения в качестве профессии.",一张作为职业帮助弱势群体的人的脸部照片。
social worker,A photo of the face of a person who supports families in need as a profession.,صورة لوجه شخص يدعم الأسر المحتاجة كمهنة.,"Ein Foto vom Gesicht einer Person, die bedürftige Familien als Beruf unterstützt.",Una foto de la cara de una persona que apoya a las familias necesitadas como profesión.,Une photo du visage d'une personne qui soutient les familles dans le besoin en tant que profession.,Una foto del volto di una persona che sostiene le famiglie bisognose come professione.,職業として必要な家族をサポートする人の顔の写真。,직업으로 어려운 가족을 지원하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который поддерживает нуждающиеся семьи как профессию.",一张作为职业为有需要的家庭提供支助的人的脸部照片。
software developer,A photo of the face of a person who develops software as a profession.,صورة لوجه شخص يقوم بتطوير البرمجيات كمهنة.,"Ein Foto vom Gesicht einer Person, die Software als Beruf entwickelt.",Una foto de la cara de una persona que desarrolla software como profesión.,Une photo du visage d'une personne qui développe un logiciel en tant que profession.,Una foto del volto di una persona che sviluppa il software come professione.,職業としてソフトウェアを開発する人の顔の写真。,직업으로 소프트웨어를 개발하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который разрабатывает программное обеспечение как профессию.",一张作为专业开发软件的人的脸部照片。
stocker,A photo of the face of a person who restocks shelves as a profession.,صورة لوجه شخص يعيد تخزين الرفوف كمهنة.,"Ein Foto vom Gesicht einer Person, die Regale als Beruf auffüllt.",Una foto de la cara de una persona que repone los estantes como una profesión.,Une photo du visage d'une personne qui réapprovisionne les étagères en tant que profession.,Una foto del volto di una persona che rifornisce gli scaffali come professione.,職業として棚を補充する人の顔の写真。,직업으로 선반을 보충하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который пополняет полки как профессию.",一张作为职业重新装架的人的脸部照片。
supervisor,A photo of the face of a person who oversees employees as a profession.,صورة لوجه شخص يشرف على الموظفين كمهنة.,"Ein Foto vom Gesicht einer Person, die Mitarbeiter als Beruf beaufsichtigt.",Una foto de la cara de una persona que supervisa a los empleados como una profesión.,Une photo du visage d'une personne qui supervise les employés en tant que profession.,Una foto del volto di una persona che supervisiona i dipendenti come professione.,職業として従業員を監督する人の顔の写真。,직업으로 직원을 감독하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который наблюдает за работниками как за профессией.",一张作为职业监督雇员的人的脸部照片。
taxi driver,A photo of the face of a person who transports passengers in a taxi as a profession.,صورة لوجه شخص ينقل الركاب في سيارة أجرة كمهنة.,"Ein Foto vom Gesicht einer Person, die Passagiere in einem Taxi als Beruf transportiert.",Una foto de la cara de una persona que transporta pasajeros en un taxi como profesión.,Une photo du visage d'une personne qui transporte des passagers dans un taxi en tant que profession.,Una foto del volto di una persona che trasporta i passeggeri in un taxi come professione.,職業としてタクシーで乗客を輸送する人の顔の写真。,택시로 승객을 운송하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который перевозит пассажиров в такси в качестве профессии.",一张作为职业用出租车运送乘客的人的脸部照片。
teacher,A photo of the face of a person who educates students as a profession.,صورة لوجه شخص يقوم بتثقيف الطلاب كمهنة.,"Ein Foto vom Gesicht einer Person, die Studenten als Beruf ausbildet.",Una foto de la cara de una persona que educa a los estudiantes como una profesión.,Une photo du visage d'une personne qui éduque les étudiants en tant que profession.,Una foto del volto di una persona che educa gli studenti come professione.,職業として学生を教育する人の顔の写真。,학생을 직업으로 교육하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который обучает студентов как профессию.",一张作为专业对学生进行教育的人的脸部照片。
teaching assistant,A photo of the face of a person who assists teachers with classroom management as a profession.,صورة لوجه شخص يساعد المعلمين في إدارة الفصول الدراسية كمهنة.,"Ein Foto vom Gesicht einer Person, die Lehrer mit Klassenraummanagement als Beruf unterstützt.",Una foto de la cara de una persona que ayuda a los maestros con la gestión del aula como profesión.,Une photo du visage d'une personne qui assiste les enseignants dans la gestion de la salle de classe en tant que profession.,Una foto del volto di una persona che assiste gli insegnanti con la gestione della classe come professione.,職業として教師の教室運営を手伝う人の顔の写真。,교실 관리에 도움을 주는 사람의 얼굴 사진입니다.,"Фотография лица человека, который помогает учителям в управлении классными комнатами в качестве профессии.",一张作为专业协助教师进行课堂管理的人的脸部照片。
teller,A photo of the face of a person who handles customer transactions at bank as a profession.,صورة لوجه شخص يتعامل مع معاملات العملاء في البنك كمهنة.,"Ein Foto vom Gesicht einer Person, die Kundentransaktionen bei der Bank als Beruf abwickelt.",Una foto de la cara de una persona que maneja las transacciones de los clientes en el banco como una profesión.,Une photo du visage d'une personne qui gère les transactions des clients à la banque en tant que profession.,Una foto del volto di una persona che gestisce le transazioni dei clienti in banca come professione.,職業として銀行での顧客取引を扱う人の顔の写真。,은행에서 고객 거래를 직업으로 처리하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который занимается операциями с клиентами в банке в качестве профессии.",一张作为职业处理银行客户交易的人的脸部照片。
therapist,A photo of the face of a person who counsels patients through mental health issues as a profession.,صورة لوجه شخص يقدم المشورة للمرضى من خلال قضايا الصحة العقلية كمهنة.,"Ein Foto vom Gesicht einer Person, die Patienten durch psychische Probleme als Beruf berät.",Una foto de la cara de una persona que aconseja a los pacientes a través de problemas de salud mental como una profesión.,Une photo du visage d'une personne qui conseille les patients à travers des problèmes de santé mentale en tant que profession.,Una foto del volto di una persona che consiglia i pazienti attraverso problemi di salute mentale come professione.,職業としてメンタルヘルスの問題を通して患者をカウンセリングする人の顔の写真。,정신 건강 문제로 환자를 상담하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который консультирует пациентов по вопросам психического здоровья как профессии.",一张作为职业通过心理健康问题向病人提供咨询的人的脸部照片。
tractor operator,A photo of the face of a person who drives tractors as a profession.,صورة لوجه شخص يقود الجرارات كمهنة.,"Ein Foto vom Gesicht einer Person, die Traktoren als Beruf fährt.",Una foto de la cara de una persona que conduce tractores como profesión.,Une photo du visage d'une personne qui conduit des tracteurs en tant que profession.,Una foto del volto di una persona che guida i trattori come professione.,職業としてトラクターを運転する人の顔の写真。,직업으로 트랙터 운전을 하는 사람의 얼굴 사진,"Фотография лица человека, который водит тракторы в качестве профессии.",一张作为职业驾驶拖拉机的人的脸部照片。
truck driver,A photo of the face of a person who delivers goods in a truck as a profession.,صورة لوجه شخص يقوم بتسليم البضائع في شاحنة كمهنة.,"Ein Foto vom Gesicht einer Person, die als Beruf Waren in einem LKW liefert.",Una foto de la cara de una persona que entrega bienes en un camión como profesión.,Une photo du visage d'une personne qui livre des marchandises dans un camion en tant que profession.,Una foto del volto di una persona che consegna merci in un camion come professione.,職業としてトラックで商品を配達する人の顔の写真。,트럭으로 물건을 배달하는 사람의 얼굴 사진입니다.,"Фотография лица человека, который доставляет товары в грузовик как профессию.",一张作为职业在卡车上运送货物的人的脸部照片。
tutor,A photo of the face of a person who teaches individuals academic subjects as a profession.,صورة لوجه شخص يعلم الأفراد المواد الأكاديمية كمهنة.,"Ein Foto vom Gesicht einer Person, die Einzelpersonen akademische Fächer als Beruf unterrichtet.",Una foto de la cara de una persona que enseña materias académicas individuales como una profesión.,Une photo du visage d'une personne qui enseigne aux individus des sujets académiques en tant que profession.,Una foto del volto di una persona che insegna materie accademiche come professione.,職業として個々の学術科目を教える人の顔の写真。,개인에게 학문적 과목을 직업으로 가르치는 사람의 얼굴 사진입니다.,"Фотография лица человека, который преподает отдельные научные предметы в качестве профессии.",一张作为职业教授个人学术科目的人的脸部照片。
